,tweet,tweet_id,language,time&date,retweet,reply,likes,quotes
0,"@maynaaseck Beautiful DJ cuppy, u look fresher everyday🥰🥰🥰",1340455139677790208,en,2020-12-20T00:33:04.000Z,0,0,0,0
1,"@Sarah79400058 @EricaLinek So from your analysis let's say, this Pepsi signed Davido, WizKid, Tiwa, Tekno, Burnaboy all of them were not up to the task so they needed to sign Dj Cuppy  to help them meet target abi?
Senseless People many for una camp",1340452739327901697,en,2020-12-20T00:23:32.000Z,0,2,0,0
2,"THANK GOD YALL WAS MADE (YOU ALL WERE BORN). GOD BLESS YALL MUMMY AND DADDY AND THE DAY THEY FELL IN LOVE TO MAKE YOU GEMS; GIFT TO MANKIND.
DJ CUPPY, SANAA, CHIDINMA, YEMI ALADE, TANYA, RIHANNA, GENEVIVE, SADE, ADELE, EMMA WATSON, NORA POTTS, TRINA, KENDALL, VIVIAN, RITA, -",1340450509090598913,en,2020-12-20T00:14:40.000Z,0,1,0,0
3,"Football wise, I cannot stand Dj Cuppy",1340449021849178112,en,2020-12-20T00:08:45.000Z,0,0,0,0
4,To think that this guy keeps prospecting Dj Cuppy. https://t.co/Zgsigo9X0o,1340447655059664898,en,2020-12-20T00:03:19.000Z,0,0,0,0
5,"@ade_vibez Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446848977428484,en,2020-12-20T00:00:07.000Z,0,0,0,0
6,"@Napari__ Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446829146755074,en,2020-12-20T00:00:03.000Z,0,0,0,0
7,"@slimonch Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446807764168705,en,2020-12-19T23:59:57.000Z,0,0,0,0
8,"@pirocruiz Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446776424316928,en,2020-12-19T23:59:50.000Z,0,0,0,0
9,"@OLUWASONY Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446759546466307,en,2020-12-19T23:59:46.000Z,0,0,0,0
10,"@Abarachibuikem Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446741489983490,en,2020-12-19T23:59:42.000Z,0,0,0,0
11,"@Supaman247 Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446719008509954,en,2020-12-19T23:59:36.000Z,0,0,0,0
12,"@Spennymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446686565588992,en,2020-12-19T23:59:29.000Z,0,0,0,0
13,"@dariemjnr3 Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446670019018753,en,2020-12-19T23:59:25.000Z,0,0,0,0
14,"@belvica24 Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446650721071109,en,2020-12-19T23:59:20.000Z,0,0,0,0
15,"@OLUWASONY @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446632731701249,en,2020-12-19T23:59:16.000Z,0,0,0,0
16,"@_abdulrahmern Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446600078999554,en,2020-12-19T23:59:08.000Z,0,0,0,0
17,"@FemaleEbuka Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446546828079105,en,2020-12-19T23:58:55.000Z,0,0,0,0
18,"@firbinhoo Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446525709836289,en,2020-12-19T23:58:50.000Z,0,0,0,0
19,"@abdxrrahman Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446506839629828,en,2020-12-19T23:58:46.000Z,0,0,0,0
20,"@chococharmaine @YorubaBoyMedia Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446455853662210,en,2020-12-19T23:58:34.000Z,0,0,0,0
21,"@darkfinger_ @YorubaBoyMedia Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDf5hOQ",1340446424543023104,en,2020-12-19T23:58:26.000Z,0,0,0,0
22,"@tvix_ @Theshirtguykay_ Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446328363638784,en,2020-12-19T23:58:03.000Z,0,0,0,0
23,"@YorubaBoyMedia Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446281706160128,en,2020-12-19T23:57:52.000Z,0,0,0,0
24,"@Theshirtguykay_ Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446262034911240,en,2020-12-19T23:57:47.000Z,0,0,0,0
25,"@Ajagbe_1 Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446236164452352,en,2020-12-19T23:57:41.000Z,0,0,0,0
26,"@Djspeysh Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446213930426372,en,2020-12-19T23:57:36.000Z,0,0,0,0
27,"@ajiphowoke @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446181147766787,en,2020-12-19T23:57:28.000Z,0,0,0,0
28,"@Ultranstinct Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446161342226437,en,2020-12-19T23:57:23.000Z,0,0,0,0
29,"@__topeh Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446141159268353,en,2020-12-19T23:57:18.000Z,0,0,0,0
30,"@KhAmZ001 Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446118661001218,en,2020-12-19T23:57:13.000Z,0,0,0,0
31,"@Sark_yhungrich @Opresii Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446053242421250,en,2020-12-19T23:56:58.000Z,0,0,0,0
32,"@KingAtlan1 @Opresii Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446028558950403,en,2020-12-19T23:56:52.000Z,0,0,0,0
33,"@kwadwojunior15 @Opresii Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340446011483938817,en,2020-12-19T23:56:48.000Z,0,0,0,0
34,"@Daniel12730608 @Opresii Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445990172712962,en,2020-12-19T23:56:42.000Z,0,0,0,0
35,"@princewill_joe @Opresii Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445970950205446,en,2020-12-19T23:56:38.000Z,0,0,0,0
36,"@theoloriherself @_Molts Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445899609260033,en,2020-12-19T23:56:21.000Z,0,0,0,0
37,"@iconic_miss @_Molts Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445794952986627,en,2020-12-19T23:55:56.000Z,0,0,0,0
38,"@Opresii Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445748324929536,en,2020-12-19T23:55:45.000Z,0,0,0,0
39,"@olusegun_taiwo Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445730700488704,en,2020-12-19T23:55:41.000Z,0,0,0,0
40,"@AdamsEdema Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445711536676865,en,2020-12-19T23:55:36.000Z,0,0,0,0
41,"@_Molts Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445693077577730,en,2020-12-19T23:55:32.000Z,0,0,0,0
42,"@sulezaha Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445676992380928,en,2020-12-19T23:55:28.000Z,0,0,0,0
43,"@chu_chu_ezekwem Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445636471230466,en,2020-12-19T23:55:18.000Z,0,0,0,0
44,"@Esteembehemoth Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340445618842574848,en,2020-12-19T23:55:14.000Z,0,0,0,0
