,name,username,is_verified,description,followers_count,following_count,tweets_count
0,용민,yongmin189,False,"Good Girl . owner of @sapphireblueind @gureumshop_
#ELF #YGSTAN #ARMY
I'm listening kpop since 2006 and this is my second account",665,160,2172
1,Melody@🏡,melodious1960,False,"#BlackLivesMatter
#maskitorcasket
#StayHomeStaySafe
#WashYourDamnHands
#VoteBlueNoMatterWho 
#chronicillness 
#GoogleRefugee
She/her/they

 #Buddhist",3859,4988,50022
2,Chief Inspector Lorna McEwan,BTPMcEwan,False,I'm @BTP Chief Inspector for Manchester - Don’t report crime here; #TextBTP on 61016 or call 0800 40 50 40. 🏳️‍🌈,1084,626,4198
3,Galinab7,galinab77,False,I am an individual with a heart for Israel and want to bring Jews and Gentiles together for Israel's national day of salvation.,115,24,4437
4,иєιѕнααααα 🌈💛.,Neishaaaaa4,False,,107,167,966
5,🐾Geeeeeeee🐾,twisteredge,False,Animal lover 🏳️‍🌈 😷,113,427,4610
6,理彩,allred_risa,False,昭和生まれ。好きなおにぎりの具はすじこ。特撮・アニメ（ニチアサ、シンカリオン、PSYCHO-PASS、聖闘士星矢）。刀剣乱舞（大倶利伽羅/伊達組）。V6（坂本担）。宝塚歌劇団（主に宙組/真風涼帆・星風まどか・鷹翔千空/OGでは実咲凜音・七海ひろき）。大河ドラマほかTV番組等の実況あり。,427,160,206064
7,Tshepi Ndlovu,meettshepi,False,"Actor//Agent : Trinity Management
//Enquiries : obey@trinitymanagement.org",766,676,4212
8,うさぎ,ipCDDNvqQRGyGRM,False,大志くんに恋してます💖G線から大志くんに心奪われ1年😍推しがいる生活最高💓💓💓💓💓  時々春馬くん登場🙏,4,30,37
9,Cathy Caswell,CaswellCathy,False,Author - 'Thriving In Our Times' & 'Logosynthesis:  Enjoying Life More Fully'; President - The Healthy Living Plan; Practitioner & Instructor in #Logosynthesis,281,612,1151
